cntry,female,agea,eduyrs,race_intel,race_work,race_better,freq_contact
DE,0,73,16,0,0,0,0
DE,1,50,14,0,0,0,1
DE,0,37,13,0,1,1,1
DE,0,50,17,0,1,1,1
DE,0,55,12,0,1,1,1
DE,0,61,20,0,0,0,1
DE,1,78,8,0,0,1,1
DE,0,71,12,0,0,1,0
DE,0,54,17,0,0,1,0
DE,1,53,14,0,0,0,1
DE,1,43,16,0,1,1,0
DE,1,40,13,1,1,1,0
DE,1,54,12,0,1,1,1
DE,1,41,14,0,0,1,1
DE,0,29,15,1,1,1,1
DE,1,28,15,1,1,1,1
DE,1,82,8,0,1,0,0
DE,0,33,8,0,0,1,1
DE,1,74,11,0,1,NA,1
DE,0,23,16,0,1,0,1
DE,1,42,17,0,1,NA,1
DE,0,73,11,1,0,1,1
DE,0,60,19,0,0,0,1
DE,1,44,13,0,0,0,1
DE,0,20,13,0,1,1,1
DE,1,42,14,0,1,1,1
DE,0,60,19,0,0,NA,1
DE,0,74,12,0,0,0,1
DE,1,65,15,1,0,1,1
DE,0,43,20,0,0,1,1
DE,0,78,14,0,1,0,0
DE,0,49,13,0,0,0,1
DE,0,35,16,1,1,0,1
DE,1,25,15,0,1,0,1
DE,0,61,16,0,0,1,1
DE,0,81,15,0,0,NA,1
DE,0,70,17,0,1,0,1
DE,1,42,16,0,0,1,1
DE,1,46,12,1,1,0,1
DE,0,31,17,0,0,0,1
DE,0,33,19,1,1,1,1
DE,1,56,14,0,0,1,1
DE,0,58,18,0,0,0,0
DE,1,36,21,0,0,0,1
DE,1,44,22,0,0,0,1
DE,0,57,14,0,0,NA,1
DE,1,77,8,NA,1,NA,1
DE,1,76,12,0,NA,0,0
DE,0,46,13,0,1,0,1
DE,0,58,19,0,0,1,1
DE,0,76,16,0,1,1,1
DE,1,57,16,1,1,0,1
DE,0,45,17,0,0,0,1
DE,1,69,16,1,1,1,1
DE,0,58,13,0,1,0,1
DE,0,26,17,1,1,0,1
DE,1,73,18,0,1,0,1
DE,0,44,13,0,0,0,1
DE,1,64,12,0,0,1,1
DE,1,28,17,NA,NA,NA,0
DE,1,80,14,0,1,1,1
DE,0,70,12,0,1,1,0
DE,1,62,13,0,1,1,1
DE,0,50,17,0,0,0,1
DE,0,30,15,0,1,1,1
DE,1,24,16,0,1,0,1
DE,0,36,26,0,0,NA,1
DE,1,25,18,0,1,0,1
DE,1,24,16,0,0,0,1
DE,1,59,9,1,0,1,1
DE,0,81,19,0,0,0,1
DE,0,47,11,0,0,1,0
DE,1,48,13,0,0,0,1
DE,1,43,16,0,0,0,1
DE,1,43,15,0,1,0,0
DE,0,65,12,0,1,0,1
DE,0,63,11,0,1,1,1
DE,1,76,8,0,1,1,1
DE,1,17,11,0,0,1,1
DE,0,38,20,0,0,1,1
DE,1,41,15,1,1,1,1
DE,1,48,13,0,0,1,0
DE,1,65,11,0,0,1,1
DE,1,57,12,0,0,0,0
DE,0,50,13,0,1,1,1
DE,0,43,20,0,0,1,1
DE,1,44,13,0,1,1,1
DE,0,39,13,0,1,1,1
DE,0,19,12,0,0,1,1
DE,0,25,15,0,0,0,1
DE,0,56,13,0,0,0,1
DE,0,76,16,1,1,0,1
DE,0,68,11,0,0,0,1
DE,0,65,17,0,0,1,1
DE,0,51,10,0,0,0,1
DE,0,60,13,0,1,0,0
DE,1,66,12,0,0,0,0
DE,0,20,12,0,0,0,1
DE,0,59,15,0,0,0,0
DE,0,70,15,0,1,1,1
DE,1,27,13,0,0,0,1
DE,1,51,16,0,0,1,1
DE,1,66,13,0,0,1,1
DE,0,63,12,0,0,0,1
DE,1,26,17,0,0,0,1
DE,0,57,14,0,0,0,1
DE,0,17,10,0,0,0,1
DE,0,70,13,0,0,0,1
DE,0,56,10,0,0,0,1
DE,1,75,10,0,0,1,0
DE,1,64,13,0,0,1,1
DE,0,76,18,0,0,0,1
DE,1,33,20,0,0,0,1
DE,0,29,17,0,1,0,1
DE,1,57,22,0,1,0,1
DE,1,38,17,0,1,0,1
DE,1,30,15,1,1,1,1
DE,1,40,15,1,0,1,0
DE,1,49,16,0,0,0,0
DE,1,51,13,1,1,1,1
DE,0,26,17,0,0,1,1
DE,0,50,12,0,1,NA,1
DE,1,22,15,0,1,0,1
DE,0,53,16,0,1,0,1
DE,1,50,10,0,0,0,1
DE,0,47,13,0,0,0,1
DE,0,44,13,0,0,NA,1
DE,0,47,18,0,1,0,1
DE,1,29,13,NA,1,0,1
DE,0,25,17,0,0,0,1
DE,1,45,13,0,0,0,0
DE,0,54,15,0,1,0,1
DE,0,39,15,0,1,0,1
DE,0,40,15,0,0,0,0
DE,1,66,15,0,0,0,1
DE,0,66,13,0,1,0,1
DE,1,52,11,0,0,0,1
DE,1,74,11,0,0,1,0
DE,0,55,14,0,1,1,1
DE,1,44,14,0,0,0,1
DE,0,66,16,0,0,0,0
DE,1,44,13,0,0,0,0
DE,0,62,12,NA,NA,1,1
DE,1,33,15,1,1,1,1
DE,1,55,11,1,1,1,1
DE,0,70,19,0,1,1,1
DE,1,16,10,0,1,0,1
DE,0,25,19,0,0,1,1
DE,0,55,10,0,0,0,1
DE,0,48,14,0,0,1,1
DE,1,62,16,0,0,0,1
DE,1,27,14,0,1,0,0
DE,0,65,18,0,0,1,1
DE,1,55,14,0,0,1,1
DE,1,15,9,0,1,0,1
DE,0,49,12,0,1,1,1
DE,0,54,20,0,0,0,0
DE,1,37,15,0,0,0,1
DE,0,35,15,0,0,0,1
DE,0,34,16,0,1,0,0
DE,0,16,10,1,1,0,1
DE,1,41,16,0,0,1,1
DE,0,56,20,0,1,1,1
DE,0,31,10,0,0,1,1
DE,0,51,9,0,1,NA,1
DE,1,83,8,0,1,1,0
DE,1,52,13,0,0,0,1
DE,0,50,13,1,0,1,0
DE,0,24,13,0,0,0,1
DE,0,68,11,0,0,1,1
DE,1,38,11,0,0,1,1
DE,0,75,18,0,0,1,0
DE,0,79,11,0,0,1,1
DE,1,74,10,NA,1,1,1
DE,0,75,11,0,0,NA,1
DE,1,81,10,NA,1,1,0
DE,0,62,13,1,1,1,1
DE,0,45,12,0,0,1,0
DE,0,29,13,0,1,1,1
DE,0,19,12,1,1,1,1
DE,0,47,13,1,1,0,1
DE,1,30,13,0,1,0,1
DE,0,45,14,0,1,0,1
DE,0,47,17,0,0,0,1
DE,1,23,13,0,0,0,1
DE,0,19,12,NA,NA,NA,NA
DE,1,41,13,0,0,0,1
DE,1,74,11,1,0,1,1
DE,0,78,14,1,0,0,0
DE,0,51,18,0,0,0,0
DE,1,68,14,0,0,0,1
DE,0,68,13,0,0,1,1
DE,0,75,23,0,0,0,1
DE,0,69,11,0,0,1,0
DE,1,65,8,1,1,1,1
DE,0,53,9,0,0,1,1
DE,0,66,12,1,1,0,1
DE,0,62,18,0,0,0,1
DE,1,65,11,0,0,0,1
DE,1,47,11,0,0,0,1
DE,1,38,24,0,0,0,1
DE,0,75,11,0,0,1,0
DE,0,37,9,0,0,1,1
DE,0,38,15,0,0,0,1
DE,1,24,12,0,1,0,1
DE,0,37,13,0,0,0,1
DE,0,57,9,0,NA,1,1
DE,0,63,13,0,0,0,0
DE,0,70,17,0,0,0,0
DE,0,65,11,0,0,0,0
DE,0,16,11,0,1,0,1
DE,1,59,13,1,0,0,1
DE,0,28,10,0,0,0,1
DE,1,32,16,1,1,0,1
DE,0,25,14,1,1,1,1
DE,1,53,12,0,0,1,1
DE,1,66,11,0,0,0,1
DE,0,76,11,0,1,1,1
DE,1,68,15,0,0,0,1
DE,0,16,9,0,0,0,0
DE,0,69,14,0,0,0,1
DE,0,31,15,0,0,0,1
DE,0,85,11,0,0,0,1
DE,1,44,15,0,1,0,1
DE,1,80,19,0,0,1,0
DE,1,33,14,0,0,0,1
DE,1,42,19,0,1,0,1
DE,1,55,10,0,0,1,1
DE,1,59,13,0,0,1,1
DE,0,61,14,0,0,0,1
