"","Start_Year","District","Just_Seat_Num","Winner_Name","fund_perc","fund_perc_alt","Total_Rs","Ruling_Party_Margin","same_party","Vic_Mar","Previous_MNA","Previous_MNA_Terms","Min_CurrentOrPast","Min_CurrentOrPast_Imp","Election_Year","Turnout_perc","Reg_Voters","Rej_Votes","Num_Cand","ENP_Method1","MofV_sq","MofV_cu","RP_Margin_quar","pmln_gov","zero_to_elec"
"73",1992,"Bhakkar",56,"Muhammad Zafarullah Khan Dhandla",235.4,100,11.77,0.12674409262549,1,0.12674409262549,1,1,0,0,1990,60.38933034,185498,1241,4,2.666088779,0.0160640650154588,0.0020360253442612,0.000258054184820887,1,0
"74",1998,"Bhakkar",55,"Muhammad Asghar Khan",0,0,0,-0.00972161563222851,0,0.00972161563222853,0,0,0,0,1997,52.53447997,235354,3112,4,2.086500073,9.45098105007897e-05,-9.18788051163432e-07,8.93210428089519e-09,1,0
"75",1998,"Bhakkar",56,"Muhammad Zafarullah Khan Dhandla",0,0,0,0.0146346685992884,1,0.0146346685992884,1,3,0,0,1997,55.61540435,218328,2543,2,1.993513178,0.000214173525010998,3.13435856127736e-06,4.58702988156365e-08,1,0
"76",1991,"Chakwal",43,"Malik Abdul Majeed",273.54,100,13.677,0.126164650488472,1,0.126164650488472,1,1,1,0,1990,55.85262665,269221,1261,6,2.195200828,0.0159175190328783,0.00200822822542669,0.000253367412162043,1,0
"77",1992,"Chakwal",43,"Malik Abdul Majeed",206,100,10.3,0.126164650488472,1,0.126164650488472,1,1,1,0,1990,55.85262665,269221,1261,6,2.195200828,0.0159175190328783,0.00200822822542669,0.000253367412162043,1,0
"78",1991,"Chakwal",44,"Sardar Mansoor Hayat Tamman",189.34,100,9.467,0.0634667894858045,1,0.0634667894858045,1,1,0,0,1990,57.70669198,263375,1354,4,2.039722255,0.00402803336763543,0.000255646345785514,1.62250528107844e-05,1,0
"79",1992,"Chakwal",44,"Sardar Mansoor Hayat Tamman",259.6,100,12.98,0.0634667894858045,1,0.0634667894858045,1,1,0,0,1990,57.70669198,263375,1354,4,2.039722255,0.00402803336763543,0.000255646345785514,1.62250528107844e-05,1,0
"80",1993,"Chakwal",43,"Malik Abdul Majeed",0,0,0,-0.0654029500586518,0,0.0654029500586518,1,2,1,0,1993,54.68815047,293058,1874,4,2.366717628,0.0042775458763745,-0.000279764119326113,1.82973987244885e-05,0,1
"81",1994,"Chakwal",43,"Malik Abdul Majeed",58,58,2.9,-0.0654029500586518,0,0.0654029500586518,1,2,1,0,1993,54.68815047,293058,1874,4,2.366717628,0.0042775458763745,-0.000279764119326113,1.82973987244885e-05,0,0
"82",1995,"Chakwal",43,"Malik Abdul Majeed",50,50,2.5,-0.0654029500586518,0,0.0654029500586518,1,2,1,0,1993,54.68815047,293058,1874,4,2.366717628,0.0042775458763745,-0.000279764119326113,1.82973987244885e-05,0,0
"83",1996,"Chakwal",43,"Malik Abdul Majeed",0,0,0,-0.0654029500586518,0,0.0654029500586518,1,2,1,0,1993,54.68815047,293058,1874,4,2.366717628,0.0042775458763745,-0.000279764119326113,1.82973987244885e-05,0,0
